scope,espn_id,name,pos,status,wins,losses,skips,appearances,win_pct,dynasty_value,on_field_value,fair_value_2026,fair_value_dynasty
overall,3042519,Aaron Jones Sr.,RB,fa,0,4,0,4,0.0,42.6,39.0,33.0,33.0
overall,4429096,Blake Corum,RB,fa,0,2,0,2,0.0,45.3,21.3,48.0,48.0
overall,4047365,Josh Jacobs,RB,extension,0,4,0,4,0.0,55.7,56.2,79.0,233.0
overall,4372561,Isaac Guerendo,RB,fa,0,3,0,3,0.0,37.9,15.2,22.0,22.0
overall,4427600,Terrell Jennings,RB,fa,0,6,0,6,0.0,29.5,11.9,1.0,1.0
overall,4695404,Isaiah Davis,RB,fa,0,3,0,3,0.0,45.2,21.6,49.0,49.0
overall,2576414,Raheem Mostert,RB,fa,0,1,0,1,0.0,32.8,25.4,7.0,7.0
overall,4596602,Brashard Smith,RB,fa,0,3,0,3,0.0,45.1,13.2,50.0,50.0
overall,4012556,C.J. Ham,RB,fa,0,4,0,4,0.0,17.7,4.3,0.0,0.0
overall,4431431,Corey Kiner,RB,fa,0,2,0,2,0.0,29.7,15.3,1.0,1.0
overall,4429676,Tyler Goodson,RB,fa,0,5,0,5,0.0,32.5,8.7,7.0,7.0
overall,4601080,Raheim Sanders,RB,fa,0,3,0,3,0.0,28.8,13.7,0.0,0.0
overall,4599739,Kendre Miller,RB,fa,0,2,0,2,0.0,34.1,17.6,12.0,12.0
overall,4430871,Sean Tucker,RB,active,0,5,0,5,0.0,43.6,23.1,41.0,157.0
overall,4682745,Jaylen Wright,RB,rookie,0,5,0,5,0.0,35.9,12.7,17.0,17.0
overall,3127586,Jeremy McNichols,RB,fa,0,3,0,3,0.0,35.0,21.8,12.0,12.0
overall,4685350,Trevor Etienne,RB,fa,0,1,0,1,0.0,46.1,12.7,55.0,55.0
overall,3054850,Alvin Kamara,RB,fa,0,3,0,3,0.0,41.6,39.8,30.0,30.0
overall,4361579,Javonte Williams,RB,fa,0,3,0,3,0.0,57.3,46.2,94.0,94.0
overall,4239996,Travis Etienne Jr.,RB,fa,0,2,0,2,0.0,54.6,44.7,80.0,80.0
overall,3128720,Nick Chubb,RB,fa,0,4,0,4,0.0,39.5,34.1,24.0,24.0
overall,3149687,Chris Brooks,RB,fa,0,4,0,4,0.0,38.4,10.8,24.0,24.0
overall,4605841,Nathan Carter,RB,fa,0,5,0,5,0.0,31.2,11.6,4.0,4.0
